"crime_id","report_number","address","offense_description","offense_category","state_offense_code","arrest_charge","charge_description","incident_timestamp","incident_time","day_of_week","hour_of_day","year","scout_car_area","precinct","block_id","neighborhood","council_district","zip_code","longitude","latitude","oid","Geometry"
"3000242","1612060005","Lancashire St & Glastonbury Ave","CSC 4TH DEGREE - FORCIBLE CONTACT","SEX OFFENSES","1178","11008","CSC 4TH DEGREE - FORCIBLE CONTACT","12/06/2016 19:45:00","14:45:00","2","14","2016","0811","08","261635430001039","North Rosedale Park","1","48223","-83.2242324514581","42.4041360702088","365","POINT (-83.22423245099998 42.40413607000005)"
"3000260","1612070151","Kercheval St & Van Dyke St","MOTOR VEHICLE THEFT","STOLEN VEHICLE","2401","24001","MOTOR VEHICLE THEFT","12/07/2016 06:30:00","01:30:00","3","1","2016","0711","07","261635153001001","West Village","5","48214","-82.9999225984921","42.3583967583945","366","POINT (-82.99992259799996 42.358396758000026)"
"3000267","1612070128","Kercheval St & Springle St","BURGLARY - FORCED ENTRY","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","12/06/2016 16:00:00","11:00:00","2","11","2016","0509","05","261635129002006","Riverbend","4","48215","-82.9582094014589","42.3748804423559","367","POINT (-82.95820940099998 42.37488044200006)"
"3000272","1612070125","18th St & Butternut St","CSC 1ST DEGREE - PENIS / VAGINA","SEXUAL ASSAULT","1171","11001","CSC 1ST DEGREE - PENIS / VAGINA","12/07/2016 10:01:00","05:01:00","3","5","2016","0310","03","261635215002010","North Corktown","6","48216","-83.0838454264721","42.3346815256718","368","POINT (-83.08384542599998 42.334681526000054)"
"3000273","1612070168","Tracey St & Puritan St","MOTOR VEHICLE THEFT","STOLEN VEHICLE","2401","24001","MOTOR VEHICLE THEFT","12/07/2016 13:00:00","08:00:00","3","8","2016","0201","02","261635369001005","Harmony Village","2","48235","-83.1805213976086","42.4093372207746","369","POINT (-83.18052139799994 42.409337221000044)"
"3000276","1612070146","E Alexandrine St & W Alexandrine St","FAMILY - ABUSE / NEGLECT NONVIOLENT","FAMILY OFFENSE","3801","38001","FAMILY - ABUSE / NEGLECT NONVIOLENT","12/02/2016 04:30:00","23:30:00","4","23","2016","0309","03","261635203001005","Midtown","6","48201","-83.0600213335847","42.3505853117241","370","POINT (-83.06002133399994 42.35058531200008)"
"3000278","1612070171","Orangelawn St & Piedmont St","MOTOR VEHICLE THEFT","STOLEN VEHICLE","2401","24001","MOTOR VEHICLE THEFT","12/07/2016 07:00:00","02:00:00","3","2","2016","0607","06","261635468003005","Franklin Park","7","48228","-83.2288488511224","42.3672607222463","371","POINT (-83.22884885099995 42.367260722000026)"
"3000283","1612070150","8 Mile Rd & Indiana St","VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)","DANGEROUS DRUGS","3501","35001","VIOLATION OF CONTROLED SUBSTANCE ACT - (VCSA)","12/07/2016 23:45:00","18:45:00","3","18","2016","1203","12","261635390004001","Garden Homes","2","48221","-83.1593447013388","42.4457083381765","372","POINT (-83.15934470099995 42.44570833800003)"
"3000308","1612070156","Celestine St & E 7 Mile Rd","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","12/08/2016 01:05:00","20:05:00","3","20","2016","0902","09","261635003003007","Regent Park","3","48205","-82.9727147122636","42.4352161268704","373","POINT (-82.97271471199997 42.43521612700005)"
"3000320","1612070213","Glenfield Ave & Newport St","BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)","BURGLARY","2202","22002","BURGLARY - ENTRY WITHOUT FORCE (INTENT TO COMMIT)","11/16/2016 10:00:00","05:00:00","3","5","2016","0909","09","261635040002008","Eden Gardens","4","48213","-82.9755430049149","42.4167651683735","374","POINT (-82.97554300499996 42.41676516800004)"
